             t,             x,             y,             z,       particle
    6.027534418,   -15.38930848,   -17.62550017,    33.20792934,              8
    6.037546934,   -15.61292765,    -16.6049743,    34.75220941,              8
    6.047559449,   -15.71213232,   -15.34081226,    36.16499241,              8
    6.057571965,   -15.67500031,   -13.86375297,    37.39736116,              8
    6.067584481,   -15.49387558,   -12.21786571,    38.40599527,              8
    6.077596996,   -15.16627459,    -10.4578348,    39.15712352,              8
    6.087609512,   -14.69543061,   -8.644845354,    39.62981314,              8
    6.097622028,   -14.09037208,   -6.841570012,    39.81800962,              8
    6.107634543,   -13.36549188,   -5.106957495,    39.73091084,              8
    6.117647059,   -12.53963844,   -3.491585546,    39.39155546,              8
    6.127659574,   -11.63483315,   -2.034235584,    38.83385708,              8
     6.13767209,   -10.67477339,  -0.7600974187,    38.09862088,              8
    6.147684606,   -9.683305796,    0.319314982,    37.22924889,              8
    6.157697121,   -8.683043718,    1.204771595,    36.26782521,              8
    6.167709637,   -7.694262187,    1.906916193,    35.25209648,              8
    6.177722153,   -6.734144349,    2.443381159,    34.21359602,              8
    6.187734668,   -5.816391798,    2.835922645,    33.17689583,              8
    6.197747184,   -4.951160354,    3.107934086,    32.15977763,              8
      6.2077597,    -4.14525091,    3.282528058,    31.17402274,              8
    6.217772215,   -3.402473013,    3.381227299,     30.2265197,              8
    6.227784731,   -2.724102982,    3.423202807,    29.32044661,              8
    6.237797247,   -2.109372403,    3.424944608,    28.45636482,              8
    6.247809762,   -1.555940702,     3.40023899,    27.63313722,              8
    6.257822278,   -1.060322733,    3.360339337,    26.84864262,              8
    6.267834793,  -0.6182565256,    3.314242089,    26.10029539,              8
    6.277847309,  -0.2250066642,    3.269005382,     25.3853991,              8
    6.287859825,   0.1243945404,    3.230070267,    24.70136975,              8
     6.29787234,   0.4349621131,    3.201561399,      24.045863,              8
    6.307884856,   0.7116220417,    3.186555827,    23.41683511,              8
    6.317897372,   0.9591154202,    3.187315939,    22.81256101,              8
    6.327909887,    1.181935472,    3.205486956,    22.23162701,              8
    6.337922403,     1.38429062,    3.242261612,    21.67291043,              8
    6.347934919,     1.57008772,    3.298515663,    21.13555451,              8
    6.357947434,    1.742930514,    3.374918026,    20.61894366,              8
     6.36795995,    1.906129265,     3.47201924,    20.12268244,              8
    6.377972466,    2.062718263,    3.590321529,    19.64657964,              8
    6.387984981,    2.215478589,    3.730333315,    19.19063848,              8
    6.397997497,    2.366964062,    3.892610577,     18.7550531,              8
    6.408010013,    2.519528713,    4.077786983,    18.34021134,              8
    6.418022528,     2.67535454,    4.286594271,    17.94670371,              8
    6.428035044,    2.836478513,    4.519873948,    17.57533847,              8
    6.438047559,    3.004818057,    4.778580909,    17.22716279,              8
    6.448060075,    3.182194342,     5.06377918,    16.90349005,              8
    6.458072591,    3.370352826,    5.376629508,    16.60593327,              8
    6.468085106,    3.570980494,    5.718368084,    16.33644495,              8
    6.478097622,    3.785719253,    6.090275163,    16.09736328,              8
    6.488110138,    4.016174844,    6.493631835,    15.89146463,              8
    6.498122653,    4.263920543,    6.929662656,      15.722022,              8
    6.508135169,    4.530494754,    7.399461268,    15.59286858,              8
    6.518147685,    4.817391406,    7.903895625,    15.50846474,              8
      6.5281602,    5.126041828,    8.443488954,    15.47396575,              8
    6.538172716,     5.45778654,    9.018272303,      15.495286,              8
    6.548185232,    5.813835117,    9.627604551,    15.57915304,              8
    6.558197747,     6.19521206,    10.26995629,    15.73314233,              8
    6.568210263,    6.602686483,    10.94265532,    15.96567935,              8
    6.578222778,    7.036683367,    11.64159412,    16.28599144,              8
    6.588235294,    7.497174442,    12.36090369,    16.70398635,              8
     6.59824781,    7.983547366,    13.09260474,    17.23002865,              8
    6.608260325,    8.494453103,    13.82625601,    17.87457994,              8
    6.618272841,    9.027633394,    14.54863149,    18.64766557,              8
    6.628285357,    9.579733203,    15.24347279,    19.55813171,              8
    6.638297872,    10.14610716,    15.89137916,    20.61266536,              8
    6.648310388,    10.72063436,    16.46991247,    21.81457109,              8
    6.658322904,    11.29556217,    16.95400493,    23.16233558,              8
    6.668335419,    11.86140645,    17.31675546,    24.64806732,              8
    6.678347935,    12.40694135,    17.53068122,    26.25597358,              8
    6.688360451,    12.91931534,    17.56944494,    27.96111856,              8
    6.698372966,     13.3843283,    17.41000484,    29.72877759,              8
    6.708385482,    13.78689595,     17.0350348,    31.51472924,              8
    6.718397997,    14.11170984,    16.43535505,    33.26677585,              8
    6.728410513,    14.34407436,    15.61202329,     34.9276273,              8
    6.738423029,    14.47086925,    14.57769761,    36.43902558,              8
    6.748435544,    14.48155209,    13.35692538,    37.74667782,              8
     6.75844806,    14.36908942,     11.9851466,    38.80529123,              8
    6.768460576,    14.13069513,    10.50641124,    39.58286893,              8
    6.778473091,    13.76826675,    8.970048558,    40.06350185,              8
    6.788485607,    13.28844493,    7.426732647,    40.24817663,              8
    6.798498123,     12.7022737,    5.924503299,    40.15353309,              8
    6.808510638,    12.02449666,    4.505294439,    39.80891678,              8
    6.818523154,    11.27257644,    3.202400032,    39.25236401,              8
     6.82853567,     10.4655588,    2.039107513,    38.52626143,              8
    6.838548185,    9.622913668,    1.028508274,    37.67334586,              8
    6.848560701,    8.763473129,   0.1743073205,    36.73351012,              8
    6.858573217,    7.904556548,  -0.5276640146,    35.74163681,              8
    6.868585732,    7.061334492,   -1.087566303,    34.72646134,              8
    6.878598248,    6.246444412,   -1.519604508,    33.71031115,              8
    6.888610763,     5.46983952,   -1.840243767,    32.70948857,              8
    6.898623279,    4.738831191,    -2.06672768,    31.73505198,              8
    6.908635795,    4.058275304,   -2.215955476,    30.79378096,              8
     6.91864831,    3.430852226,   -2.303711497,    29.88916391,              8
    6.928660826,    2.857395854,   -2.344201476,     29.0223031,              8
    6.938673342,    2.337236121,   -2.349832314,    28.19268154,              8
    6.948685857,    1.868529277,   -2.331169917,     27.3987728,              8
    6.958698373,    1.448559358,   -2.297016686,    26.63849946,              8
    6.968710889,    1.074001754,   -2.254561591,    25.90955894,              8
    6.978723404,   0.7411454192,   -2.209567652,     25.2096415,              8
